Cle,PartOrganizationID,PartInstitution-…tablissement,ProvinceEN,ProvinceFR,CountryEN,CountryFR,FiscalYear-Exercice financier
515506,27478,Intel of Canada Ltd,British Columbia,Colombie-Britannique,CANADA,CANADA,2012
515506,9132,Electronic Arts Canada Inc.,British Columbia,Colombie-Britannique,CANADA,CANADA,2012
515506,27807,NVIDIA Corporation,California,Californie,UNITED STATES,…TATS-UNIS,2012
515506,29127,Advanced Micro Devices,Ontario,Ontario,CANADA,CANADA,2012
498928,9081,Wyeth-Ayerst Canada Inc.,QuÈbec,QuÈbec,CANADA,CANADA,2012
498928,6770,Pfizer Canada Inc.,QuÈbec,QuÈbec,CANADA,CANADA,2012
512036,31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2012
512036,6142,Fisheries and Oceans Canada,Ontario,Ontario,CANADA,CANADA,2012
511862,33325,TerraNotes Ltd,Alberta,Alberta,CANADA,CANADA,2012
510840,31053,Qualcomm Canada Inc.,Ontario,Ontario,CANADA,CANADA,2012
511105,36785,Dajcor Aluminum LtÈe,Ontario,Ontario,CANADA,CANADA,2012
498942,29231,Petro-Canada Oil Sands Inc,Alberta,Alberta,CANADA,CANADA,2012
498942,29867,Athabasca Oil Sands Corp.,Alberta,Alberta,CANADA,CANADA,2012
498942,17033,ConocoPhillips Canada Resources Corp.,Alberta,Alberta,CANADA,CANADA,2012
498942,22647,Japan Canada Oil Sands Ltd. (JACOS),Alberta,Alberta,CANADA,CANADA,2012
498942,9828,Nexen Inc.,Alberta,Alberta,CANADA,CANADA,2012
498942,17459,Chevron Energy Technology Company,California,Californie,UNITED STATES,…TATS-UNIS,2012
498942,29866,Devon ARL Corporation,Alberta,Alberta,CANADA,CANADA,2012
498942,29868,OSUM Oil Sands Corporation,Alberta,Alberta,CANADA,CANADA,2012
498942,25108,Total E&P Canada Ltd.,Alberta,Alberta,CANADA,CANADA,2012
498942,27099,Laricina Energy Ltd,Alberta,Alberta,CANADA,CANADA,2012
498942,29303,StatoilHydro Canada Ltd,Alberta,Alberta,CANADA,CANADA,2012
510534,34447,Grand PrÈ Wines Ltd.,Nova Scotia,Nouvelle-…cosse,CANADA,CANADA,2012
510534,34447,Grand PrÈ Wines Ltd.,Nova Scotia,Nouvelle-…cosse,CANADA,CANADA,2012
503855,15096,Canadian Institutes of Health Research,Ontario,Ontario,CANADA,CANADA,2012
503855,17639,Ultrasonix Medical Corporation,British Columbia,Colombie-Britannique,CANADA,CANADA,2012
499303,16618,Insituform Technologies Ltd.,Alberta,Alberta,CANADA,CANADA,2012
499303,10487,Waiward Steel Fabricators Ltd,Alberta,Alberta,CANADA,CANADA,2012
499303,8998,North American Construction Group Inc.,Alberta,Alberta,CANADA,CANADA,2012
499303,30195,Ledcor Group of Companies,British Columbia,Colombie-Britannique,CANADA,CANADA,2012
499303,31206,PME Inc.,Alberta,Alberta,CANADA,CANADA,2012
499303,9455,Standard General Construction,Alberta,Alberta,CANADA,CANADA,2012
499303,31841,E Construction Ltd.,Alberta,Alberta,CANADA,CANADA,2012
499303,9000,Finning (Canada) Ltd.,Alberta,Alberta,CANADA,CANADA,2012
499303,2600,City of Edmonton,Alberta,Alberta,CANADA,CANADA,2012
499303,2600,City of Edmonton,Alberta,Alberta,CANADA,CANADA,2012
499303,9007,Alberco Construction Ltd,Alberta,Alberta,CANADA,CANADA,2012
499303,13133,PCL Constructors Canada  Inc.,Alberta,Alberta,CANADA,CANADA,2012
499303,16612,Kellogg Brown & Root,Alberta,Alberta,CANADA,CANADA,2012
499303,16879,Graham Industrial Services Ltd.,Alberta,Alberta,CANADA,CANADA,2012
499303,30282,JV Driver Projects Ltd,Alberta,Alberta,CANADA,CANADA,2012
499303,24734,Flint Energy Services Ltd.,Alberta,Alberta,CANADA,CANADA,2012
511931,36797,"MJ EcoPower Hybrid Systems, Inc.",QuÈbec,QuÈbec,CANADA,CANADA,2012
516714,34324,Ontario Water Works Association,Ontario,Ontario,CANADA,CANADA,2012
516714,11884,Mathematics of Information Technology and Complex Systems,British Columbia,Colombie-Britannique,CANADA,CANADA,2012
516714,34323,Vatten Infrastructure Inc.,Ontario,Ontario,CANADA,CANADA,2012
510950,34269,EPEink Corp,Ontario,Ontario,CANADA,CANADA,2012
511067,36365,Clawd Technologies Inc.,QuÈbec,QuÈbec,CANADA,CANADA,2012
498587,32641,Bevo Agro Inc.,British Columbia,Colombie-Britannique,CANADA,CANADA,2012
498417,6483,Imperial Oil Ltd,Ontario,Ontario,CANADA,CANADA,2012
503886,15096,Canadian Institutes of Health Research,Ontario,Ontario,CANADA,CANADA,2012
503886,32881,Ototronix,Texas,Texas,UNITED STATES,…TATS-UNIS,2012
498592,5104,Enbridge Pipelines Inc.,Alberta,Alberta,CANADA,CANADA,2012
498610,33249,Bion Biometrics Inc.,Ontario,Ontario,CANADA,CANADA,2012
511120,33458,Global Intellectual Strategies,Ontario,Ontario,CANADA,CANADA,2012
511182,21831,Raymor Industries Inc.,QuÈbec,QuÈbec,CANADA,CANADA,2012
498723,18504,Telus Corporation,British Columbia,Colombie-Britannique,CANADA,CANADA,2012
510917,18504,Telus Corporation,British Columbia,Colombie-Britannique,CANADA,CANADA,2012
510671,4718,Industries Maibec Inc.,QuÈbec,QuÈbec,CANADA,CANADA,2012
511031,35707,neurOQOre Inc.,Ontario,Ontario,CANADA,CANADA,2012
510886,29358,Allen Vanguard Technologies Inc,Ontario,Ontario,CANADA,CANADA,2012
510595,36411,Kiwi Choice Inc.,Ontario,Ontario,CANADA,CANADA,2012
510655,37371,Au Pavillon de la pomme S.E.N.C.,QuÈbec,QuÈbec,CANADA,CANADA,2012
510689,33591,Motion Composites,QuÈbec,QuÈbec,CANADA,CANADA,2012
498529,26600,OneChip Photonics Inc,Ontario,Ontario,CANADA,CANADA,2012
510774,29345,Newtrax Technologies Inc.,QuÈbec,QuÈbec,CANADA,CANADA,2012
510904,36620,HiveDirect Inc.,Ontario,Ontario,CANADA,CANADA,2012
510691,33598,Oligo Medic Inc.,QuÈbec,QuÈbec,CANADA,CANADA,2012
499325,32705,Prolamina Corporation,QuÈbec,QuÈbec,CANADA,CANADA,2012
499325,23062,Excel Pac,QuÈbec,QuÈbec,CANADA,CANADA,2012
498742,29917,Lavergne Group,QuÈbec,QuÈbec,CANADA,CANADA,2012
499325,2895,Saputo Division Boulangerie,QuÈbec,QuÈbec,CANADA,CANADA,2012
498515,22043,Ultra Electronics TCS,QuÈbec,QuÈbec,CANADA,CANADA,2012
510707,22043,Ultra Electronics TCS,QuÈbec,QuÈbec,CANADA,CANADA,2012
510607,37518,Rambler Metals and Mining Canada Limited,Newfoundland and Labrador,Terre-Neuve-et-Labrador,CANADA,CANADA,2012
511345,36749,AcuTruss Industries Ltd,British Columbia,Colombie-Britannique,CANADA,CANADA,2012
511303,32020,Goodco Z-Tech,QuÈbec,QuÈbec,CANADA,CANADA,2012
498306,30950,OK Builders Supplies Ltd.,British Columbia,Colombie-Britannique,CANADA,CANADA,2012
498497,32761,S-FRAME Software Canada,British Columbia,Colombie-Britannique,CANADA,CANADA,2012
499194,25100,Alcoa Canada ltÈe,QuÈbec,QuÈbec,CANADA,CANADA,2012
515703,3475,Institut National d'Optique,QuÈbec,QuÈbec,CANADA,CANADA,2012
515703,23050,LxSix Photonics,QuÈbec,QuÈbec,CANADA,CANADA,2012
515703,25306,Spartan Bioscience Inc.,Ontario,Ontario,CANADA,CANADA,2012
498731,9460,Barrick Gold Corporation,Ontario,Ontario,CANADA,CANADA,2012
511344,33376,Giatec Scientific Inc.,Ontario,Ontario,CANADA,CANADA,2012
498664,16600,Teck Cominco Metals Ltd.,British Columbia,Colombie-Britannique,CANADA,CANADA,2012
498847,33264,Specialty Polymer Coatings Inc.,British Columbia,Colombie-Britannique,CANADA,CANADA,2012
498337,6465,Hydro-Quebec,QuÈbec,QuÈbec,CANADA,CANADA,2012
498381,27623,Atlantic Industries Ltd,New Brunswick,Nouveau-Brunswick,CANADA,CANADA,2012
511242,37348,Corvus Energy Canada,British Columbia,Colombie-Britannique,CANADA,CANADA,2012
510813,37532,Technomotion inc.,QuÈbec,QuÈbec,CANADA,CANADA,2012
499312,31830,Urban Development Institute Greater Edmonton Chapter,Alberta,Alberta,CANADA,CANADA,2012
499312,31839,All Weather Windows,Alberta,Alberta,CANADA,CANADA,2012
498871,31612,TLJ Engineering Consultants,Alberta,Alberta,CANADA,CANADA,2012
499312,31835,Canada Green Building Council Alberta Chapter,Alberta,Alberta,CANADA,CANADA,2012
499312,31836,Landmark Group of Builders,Alberta,Alberta,CANADA,CANADA,2012
499312,32001,P. Kruger Concrete Products Ltd.,Alberta,Alberta,CANADA,CANADA,2012
511518,37401,Fortis LGS Structures Inc.,Alberta,Alberta,CANADA,CANADA,2012
499312,33332,Wilbert Kranservice GmbH,,,GERMANY,ALLEMAGNE,2012
499312,32644,Northern Crane Services Group Ltd.,Alberta,Alberta,CANADA,CANADA,2012
511446,33734,MagWall Inc.,Alberta,Alberta,CANADA,CANADA,2012
499312,31609,Integrated Management & Realty Ltd,Alberta,Alberta,CANADA,CANADA,2012
498871,31609,Integrated Management & Realty Ltd,Alberta,Alberta,CANADA,CANADA,2012
499312,31610,Cormode & Dickson Construction (1983) Ltd.,Alberta,Alberta,CANADA,CANADA,2012
498871,31610,Cormode & Dickson Construction (1983) Ltd.,Alberta,Alberta,CANADA,CANADA,2012
498871,31611,Hydraft Development Services Inc.,Alberta,Alberta,CANADA,CANADA,2012
499312,29789,IGLOO Building Supplies Group,Alberta,Alberta,CANADA,CANADA,2012
499312,31831,Modular Building Institute,,,UNITED STATES,…TATS-UNIS,2012
498428,8987,Standard Aero Ltd.,Manitoba,Manitoba,CANADA,CANADA,2012
511176,37546,Oncozyme pharma inc.,QuÈbec,QuÈbec,CANADA,CANADA,2012
515289,18637,BIOX Corporation,Ontario,Ontario,CANADA,CANADA,2012
515289,13770,Ocean Nutrition Canada Ltd,Nova Scotia,Nouvelle-…cosse,CANADA,CANADA,2012
510987,27920,SiREM,Ontario,Ontario,CANADA,CANADA,2012
511070,36399,Dashwood Cinema Solutions,Ontario,Ontario,CANADA,CANADA,2012
512022,36446,Norfolk Power Distribution Inc.,Ontario,Ontario,CANADA,CANADA,2012
512022,36530,OMICRON electronics Corp. USA,Texas,Texas,UNITED STATES,…TATS-UNIS,2012
