Cle,PartOrganizationID,PartInstitution-…tablissement,ProvinceEN,ProvinceFR,CountryEN,CountryFR,FiscalYear-Exercice financier
487624,9132,Electronic Arts Canada Inc.,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
487624,27478,Intel of Canada Ltd,British Columbia,Colombie-Britannique,CANADA,CANADA,2011
487624,27807,NVIDIA Corporation,California,Californie,UNITED STATES,…TATS-UNIS,2011
487624,29127,Advanced Micro Devices,Ontario,Ontario,CANADA,CANADA,2011
495126,31053,Qualcomm Canada Inc.,Ontario,Ontario,CANADA,CANADA,2011
483335,6770,Pfizer Canada Inc.,QuÈbec,QuÈbec,CANADA,CANADA,2011
483335,9081,Wyeth-Ayerst Canada Inc.,QuÈbec,QuÈbec,CANADA,CANADA,2011
487164,30185,Arjae Spectral Enterprises Ltd,Ontario,Ontario,CANADA,CANADA,2011
496039,27752,Chrysler Canada Inc.,Ontario,Ontario,CANADA,CANADA,2011
485536,29231,Petro-Canada Oil Sands Inc,Alberta,Alberta,CANADA,CANADA,2011
485536,17033,ConocoPhillips Canada Resources Corp.,Alberta,Alberta,CANADA,CANADA,2011
485536,22647,Japan Canada Oil Sands Ltd. (JACOS),Alberta,Alberta,CANADA,CANADA,2011
485536,29867,Athabasca Oil Sands Corp.,Alberta,Alberta,CANADA,CANADA,2011
494643,31271,Canadian Clean Water Technologies Inc.,Alberta,Alberta,CANADA,CANADA,2011
485536,27099,Laricina Energy Ltd,Alberta,Alberta,CANADA,CANADA,2011
485536,25108,Total E&P Canada Ltd.,Alberta,Alberta,CANADA,CANADA,2011
485536,29303,StatoilHydro Canada Ltd,Alberta,Alberta,CANADA,CANADA,2011
485536,9828,Nexen Inc.,Alberta,Alberta,CANADA,CANADA,2011
485536,17459,Chevron Energy Technology Company,California,Californie,UNITED STATES,…TATS-UNIS,2011
485536,29866,Devon ARL Corporation,Alberta,Alberta,CANADA,CANADA,2011
485536,29868,OSUM Oil Sands Corporation,Alberta,Alberta,CANADA,CANADA,2011
