2014,citation
2014,impact
2014,productivity
2014,percentiles
2014,publication
2014,indicator
2010,hindex
2010,ofscience
2010,citation
2010,analysis
2010,scopus
2010,researchers
2010,databases
2010,search
2010,impact
2010,output
2010,lis
2013,sustainable
2013,competitive
2013,advantage
2013,technology
2013,indicators
2013,patents
2013,firms
2013,asia
2010,perspectives
2010,paper
2005,impactfactors
2005,scientific
2005,journals
2005,indicators
2005,science
2005,distributions
2005,publication
2005,quality
2005,system
2013,citation
2013,impact
2013,journals
2013,usage
2011,products
2011,adoption
2011,model
2009,electronic
2009,resources
2009,web
2009,journals
2009,behavior
1996,information
1996,target
2008,lotkas
2008,law
2008,scientific
2008,collaboration
2008,authorship
2008,productivity
2008,consequences
2011,data
2011,envelopment
2011,analysis
2011,nonparametric
2011,frontier
2011,models
2011,australian
2011,universities
2011,research
2011,productivity
2011,empiricalanalysis
2011,secondaryschools
2011,uk
2011,universities
2011,performance
2011,dea
2011,methodology
2002,context
2002,world
2002,life
2014,interdisciplinary
2014,research
2014,science
2012,news
2012,coverage
2012,foreignnews
2012,media
2012,communication
2012,determinants
2012,countries
2012,tweets
2012,crises
2012,frame
2005,search
2005,process
2005,retrieval
2005,seeking
2005,design
2005,visualization
2005,environment
2005,knowledge
2005,schemes
2005,science
2004,international
2004,collaboration
2004,indicators
2012,journal
2012,impact
2012,occupationalhealth
2012,scientific
2012,journals
2012,core
2012,journals
2012,factor
2012,trends
2012,nursing
2012,scholarship
2012,science
2012,bibliometrics
2012,ergonomics
2012,indexes
2013,oftheliterature
2013,informationretrieval
2013,systems
2013,document
2013,relevance
2013,search
2013,histories
2013,crossevaluation
2013,researchproject
2013,cognitive
2013,model
2013,part
2013,ii
2013,science
2013,criteria
2014,networks
2008,impact
2008,indicators
2008,science
2010,successive
2010,hindexes
2010,scientificresearch
2010,output
2010,hirschtype
2010,indexes
2010,ortega
2010,hypothesis
2010,impact
2014,selforganizing
2014,map
2014,visualization
2014,domain
2009,worldwideweb
2009,search
2009,engines
2009,lifespan
2009,pages
2009,networks
2009,dynamics
2009,accessibility
2009,topology
2009,behavior
2009,internet
2015,distributions
2015,universality
2007,science
2007,knowledge
2007,technology
2007,base
2007,innovation
2007,systems
2006,gini
2006,index
2006,law
2003,ifthen
2003,rules
2003,classification
2003,problems
2003,membership
2003,functions
2003,genetic
2003,algorithms
2003,inference
2003,system
2003,sets
2010,classification
2010,impact
2010,space
2006,topic
2006,identification
2006,web
2006,online
2006,blog
2006,management
2006,documents
2006,news
2005,science
2016,coword
2016,analysis
2016,latent
2016,dirichlet
2016,allocation
2016,research
2016,trends
2016,networks
2016,management
2016,retrieval
2016,knowledge
2016,library
2016,topics
2016,model
2015,log
2015,analysis
2015,library
2015,catalog
2015,online
2015,catalog
2015,web
2015,usability
2015,design
2015,vufind
2015,system
2015,users
2006,scientific
2006,literature
2006,indicators
2006,macro
2014,citations
2014,web
2011,questions
2011,retrieval
2011,framework
2011,care
2008,digital
2008,divide
2008,politicalparticipation
2008,media
2008,use
2008,life
2008,variables
2008,context
2008,online
2008,gender
2008,access
2008,users
2014,international
2014,collaboration
2014,hyperlink
2014,network
2014,site
2014,interlinking
2014,science
2014,patterns
2014,link
2014,globalization
2014,communication
2014,departments
2014,webometrics
2006,mis
2006,publications
2006,scholars
2006,quality
2006,forums
2005,scientific
2005,collaboration
2005,countries
2005,science
2005,model
1999,prizes
2015,text
2004,online
2004,catalogs
2004,search
2004,interface
2004,systemsdesign
2004,literacy
2004,perspectives
2004,instruction
2004,feedback
2004,seeking
2004,hard
2009,web
2015,hospital
2015,informationsystems
2015,structural
2015,equation
2015,model
2015,mcommerce
2015,adoption
2015,mobile
2015,credit
2015,card
2015,user
2015,acceptance
2015,perceived
2015,usefulness
2015,preservice
2015,teachers
2015,empiricalexamination
2015,behavioral
2015,intention
2015,intrinsic
2015,motivation
2010,retrieval
2010,systems
2010,seeking
2010,strategies
2010,web
2010,complexity
2010,design
2010,experience
2010,engineers
2010,knowledge
2010,tactics
2010,support
2001,informationretrieval
2001,networked
2001,information
2001,engineering
2001,faculty
2001,universityfaculty
2001,small
2001,institutions
2001,analyzing
2001,access
2001,digital
2001,library
2001,journals
2001,science
2001,communication
2011,information
2015,google
2015,scholar
2015,science
2015,web
2015,bibliometrics
2015,index
2005,spanish
2005,pharmacologists
2005,bibliometric
2005,analysis
2005,women
2005,scientists
2005,sci
2005,
2005,publications
2005,indicators
2005,countries
2005,sciences
2005,isi
2014,web
2014,information
2014,counts
2010,nonextensive
2010,statisticalmechanics
2010,initial
2010,conditions
2010,entropic
2010,index
2010,journals
2010,productivity
2010,sensitivity
2010,ranking
2010,system
2010,model
2012,universities
2012,world
2010,smallworld
2010,networks
2010,complex
2010,networks
2010,growing
2010,networks
2010,hindex
2010,distributions
2010,evolution
2010,dynamics
2010,internet
2010,graphs
2010,attack
2015,nanotubular
2015,titaniumoxide
2015,photocatalytic
2015,generation
2015,steamgasification
2015,powergeneration
2015,energysources
2015,fuel
2015,water
2015,systems
2015,electrolysis
2015,electricity
2013,randomwalk
2013,retrieval
2013,community
2013,journals
2013,search
2003,science
2003,technology
2003,innovation
2003,systems
2015,citation
2015,impact
2015,adjusted
2015,predictions
2015,publication
2015,indicators
2015,percentiles
2015,assessments
2015,bibliometrics
2015,manuscripts
2015,journals
2015,behavior
2011,impact
2011,indicators
2011,science
2001,informationretrieval
2001,thesaurus
2001,relevance
2001,knowledge
2001,model
2001,users
2014,personal
2014,names
2014,author
2014,universities
2014,web
2006,system
2001,retrieval
2010,scientific
2010,collaboration
2010,international
2010,collaboration
2010,science
2010,citation
2010,indicators
2010,authorship
2010,networks
2010,health
2010,output
2014,citation
2014,distributions
2014,universality
2014,networks
2014,scores
2014,impact
2014,web
2003,electronic
2003,journals
2003,communication
2003,impact
2003,inquiry
2003,issues
2003,web
2015,coauthorship
2015,scientific
2015,collaboration
2015,international
2015,collaboration
2015,science
2015,model
2015,coauthorship
2015,profiles
2015,growth
2015,gender
2015,pairs
2014,informationseeking
2014,uncertainty
2014,involvement
2014,persuasion
2014,biases
